NZ_HG813240 GCF_000786505
NZ_JJSJ01000001 GCF_000711645
NZ_KK327824 GCF_000659745
NZ_KK327840 GCF_000659885
NZ_KK327845 GCF_000659905
NZ_KK327850 GCF_000659925
NZ_KK327941 GCF_000660265
NZ_KK327958 GCF_000660325
NZ_KK327964 GCF_000660365
NZ_KK328030 GCF_000660545
NZ_KK328041 GCF_000660585
NZ_KK328092 GCF_000660705
NZ_KK328105 GCF_000660765
NZ_KK328164 GCF_000660825
NZ_KK328243 GCF_000660985
NZ_KK328250 GCF_000661005
NZ_KK328270 GCF_000661065
NZ_KK328288 GCF_000661125
NZ_KK328316 GCF_000661205
NZ_KK328356 GCF_000661365
NZ_KK339153 GCF_000667185
NZ_KK339190 GCF_000667225
NZ_KK339262 GCF_000667405
NZ_KK339334 GCF_000667685
NZ_KK357601 GCF_000679935
NZ_KK357606 GCF_000679955
NZ_KK357641 GCF_000680035
NZ_KK357655 GCF_000680095
NZ_KK357663 GCF_000680115
NZ_KK357738 GCF_000680195
NZ_KK357755 GCF_000680275
NZ_KK357771 GCF_000680395
NZ_KK357780 GCF_000680415
NZ_KK357796 GCF_000680495
NZ_KK357864 GCF_000680735
NZ_KK357964 GCF_000681235
