NZ_KK325267 GCF_000657135
NZ_KK325612 GCF_000657235
NZ_KK325968 GCF_000657295
NZ_KK327391 GCF_000657595
NZ_KK327460 GCF_000657615
NZ_KK327611 GCF_000657675
NZ_KK327737 GCF_000659045
NZ_KK327738 GCF_000659065
NZ_KK327749 GCF_000659085
NZ_KK327774 GCF_000659205
NZ_KK327775 GCF_000659225
NZ_KK327776 GCF_000659245
NZ_KK327777 GCF_000659265
NZ_KK327779 GCF_000659285
NZ_KK327780 GCF_000659305
NZ_KK327785 GCF_000659325
NZ_KK327793 GCF_000659345
NZ_KK327795 GCF_000659385
NZ_KK327796 GCF_000659405
NZ_KK327797 GCF_000659425
NZ_KK327798 GCF_000659445
NZ_KK327799 GCF_000659465
NZ_KK327800 GCF_000659485
NZ_KK327802 GCF_000659505
NZ_KK327807 GCF_000659525
NZ_KK327808 GCF_000659545
