NZ_KK322482 GCF_000655135
NZ_KK322490 GCF_000655155
NZ_KK322493 GCF_000655175
NZ_KK322516 GCF_000655275
NZ_KK322619 GCF_000655555
NZ_KK322692 GCF_000655855
NZ_KK325267 GCF_000657135
NZ_KK326972 GCF_000657495
NZ_KK327053 GCF_000657515
NZ_KK327213 GCF_000657555
NZ_KK327301 GCF_000657575
NZ_KK327391 GCF_000657595
NZ_KK327460 GCF_000657615
NZ_KK327492 GCF_000657635
NZ_KK327524 GCF_000657655
NZ_KK327611 GCF_000657675
NZ_KK327737 GCF_000659045
NZ_KK327738 GCF_000659065
NZ_KK327749 GCF_000659085
NZ_KK327774 GCF_000659205
NZ_KK327775 GCF_000659225
NZ_KK327776 GCF_000659245
NZ_KK327777 GCF_000659265
NZ_KK327779 GCF_000659285
NZ_KK327780 GCF_000659305
NZ_KK327785 GCF_000659325
NZ_KK327793 GCF_000659345
NZ_KK327795 GCF_000659385
NZ_KK327796 GCF_000659405
NZ_KK327797 GCF_000659425
NZ_KK327798 GCF_000659445
NZ_KK327799 GCF_000659465
NZ_KK327800 GCF_000659485
NZ_KK327802 GCF_000659505
NZ_KK327807 GCF_000659525
NZ_KK327808 GCF_000659545
NZ_KK327858 GCF_000659985
NZ_KK327941 GCF_000660265
NZ_KK327958 GCF_000660325
NZ_KK327987 GCF_000660465
NZ_KK328105 GCF_000660765
NZ_KK328195 GCF_000660925
NZ_KK328243 GCF_000660985
NZ_KK328250 GCF_000661005
NZ_KK328270 GCF_000661065
NZ_KK328288 GCF_000661125
NZ_KK328348 GCF_000661345
NZ_KK339153 GCF_000667185
NZ_KK339190 GCF_000667225
NZ_KK339262 GCF_000667405
NZ_KK339334 GCF_000667685
NZ_KK357641 GCF_000680035
NZ_KK357655 GCF_000680095
NZ_KK357738 GCF_000680195
NZ_KK357755 GCF_000680275
NZ_KK357771 GCF_000680395
NZ_KK357780 GCF_000680415
NZ_KK357864 GCF_000680735
NZ_KK357964 GCF_000681235
NZ_KL407218 GCF_000706445
