NZ_HG813240 GCF_000786505
NZ_JJSJ01000001 GCF_000711645
NZ_KK322552 GCF_000655375
NZ_KK322616 GCF_000655535
NZ_KK322657 GCF_000655735
NZ_KK322672 GCF_000655815
NZ_KK322782 GCF_000656075
NZ_KK322823 GCF_000656195
NZ_KK325006 GCF_000657095
NZ_KK325459 GCF_000657195
NZ_KK325522 GCF_000657215
NZ_KK326402 GCF_000657395
NZ_KK326486 GCF_000657415
NZ_KK327611 GCF_000657675
NZ_KK327738 GCF_000659065
NZ_KK327780 GCF_000659305
NZ_KK327785 GCF_000659325
NZ_KK327858 GCF_000659985
NZ_KK327941 GCF_000660265
NZ_KK327958 GCF_000660325
NZ_KK327987 GCF_000660465
NZ_KK328243 GCF_000660985
NZ_KK328348 GCF_000661345
