NC_016934 GCF_000304555
NZ_JLYL01000001 GCF_000657835
NZ_KK322473 GCF_000655115
NZ_KK322490 GCF_000655155
NZ_KK322516 GCF_000655275
NZ_KK322552 GCF_000655375
NZ_KK322616 GCF_000655535
NZ_KK322619 GCF_000655555
NZ_KK322657 GCF_000655735
NZ_KK322672 GCF_000655815
NZ_KK322692 GCF_000655855
NZ_KK322782 GCF_000656075
NZ_KK322791 GCF_000656115
NZ_KK322823 GCF_000656195
NZ_KK325217 GCF_000657115
NZ_KK325267 GCF_000657135
NZ_KK325968 GCF_000657295
NZ_KK326006 GCF_000657315
NZ_KK326313 GCF_000657375
NZ_KK327053 GCF_000657515
NZ_KK327213 GCF_000657555
NZ_KK327460 GCF_000657615
NZ_KK327492 GCF_000657635
NZ_KK327611 GCF_000657675
NZ_KK327737 GCF_000659045
NZ_KK327738 GCF_000659065
NZ_KK327749 GCF_000659085
NZ_KK327774 GCF_000659205
NZ_KK327775 GCF_000659225
NZ_KK327776 GCF_000659245
NZ_KK327777 GCF_000659265
NZ_KK327779 GCF_000659285
NZ_KK327780 GCF_000659305
NZ_KK327785 GCF_000659325
NZ_KK327793 GCF_000659345
NZ_KK327795 GCF_000659385
NZ_KK327796 GCF_000659405
NZ_KK327797 GCF_000659425
NZ_KK327798 GCF_000659445
NZ_KK327799 GCF_000659465
NZ_KK327800 GCF_000659485
NZ_KK327802 GCF_000659505
NZ_KK327807 GCF_000659525
NZ_KK327808 GCF_000659545
NZ_KK327809 GCF_000659565
NZ_KK327813 GCF_000659585
NZ_KK327817 GCF_000659605
NZ_KK327818 GCF_000659625
NZ_KK327819 GCF_000659645
NZ_KK327821 GCF_000659685
NZ_KK327822 GCF_000659705
NZ_KK327838 GCF_000659845
NZ_KK327839 GCF_000659865
NZ_KK327845 GCF_000659905
NZ_KK327850 GCF_000659925
NZ_KK327855 GCF_000659965
NZ_KK327940 GCF_000660245
NZ_KK327964 GCF_000660365
NZ_KK328023 GCF_000660525
NZ_KK328041 GCF_000660585
NZ_KK328055 GCF_000660625
NZ_KK328092 GCF_000660705
NZ_KK328103 GCF_000660745
NZ_KK328105 GCF_000660765
NZ_KK328107 GCF_000660785
NZ_KK328164 GCF_000660825
NZ_KK328183 GCF_000660865
NZ_KK328184 GCF_000660885
NZ_KK328260 GCF_000661025
NZ_KK328270 GCF_000661065
NZ_KK328288 GCF_000661125
NZ_KK328322 GCF_000661225
NZ_KK328356 GCF_000661365
NZ_KK328370 GCF_000661405
NZ_KK328378 GCF_000661445
NZ_KK328379 GCF_000661465
NZ_KK328380 GCF_000661485
NZ_KK328381 GCF_000661505
NZ_KK328406 GCF_000661655
NZ_KK339190 GCF_000667225
NZ_KK339262 GCF_000667405
NZ_KK339334 GCF_000667685
NZ_KK357606 GCF_000679955
NZ_KK357663 GCF_000680115
NZ_KK357755 GCF_000680275
NZ_KK357771 GCF_000680395
NZ_KL407218 GCF_000706445
