GCF_000680395.1	NZ_KK357771.1	7	628762	700415	148	649891	649922
GCF_000680395.1	NZ_KK357771.1	7	628762	700415	148	655981	656012
GCF_000680395.1	NZ_KK357771.1	10	878086	918956	285	907190	907221
GCF_000680395.1	NZ_KK357771.1	7	628762	700415	332	650309	650340
GCF_000680395.1	NZ_KK357771.1	7	628762	700415	332	656399	656430
GCF_000680395.1	NZ_KK357771.1	2	130746	143886	521	139377	139408
GCF_000680395.1	NZ_KK357772.1	17	389086	402989	353	401143	401174
GCF_000680395.1	NZ_KK357772.1	17	389086	402989	389	401131	401162
GCF_000680395.1	NZ_KK357772.1	17	389086	402989	392	401116	401147
GCF_000680395.1	NZ_KK357772.1	17	389086	402989	407	401114	401145
GCF_000680395.1	NZ_KK357772.1	17	389086	402989	408	401128	401159
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	455	103905	103936
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	456	103899	103930
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	457	103900	103931
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	458	103894	103925
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	461	103896	103927
GCF_000680395.1	NZ_KK357772.1	17	389086	402989	734	401138	401169
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	776	103835	103866
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	777	103842	103873
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	783	103852	103883
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	784	103837	103868
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	786	103839	103870
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	787	103841	103872
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	789	103840	103871
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	793	103849	103880
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	798	103848	103879
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	799	103850	103881
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	801	103846	103877
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	840	103858	103889
GCF_000680395.1	NZ_KK357772.1	11	88208	137568	841	103862	103893
GCF_000680395.1	NZ_KK357774.1	32	178873	193761	57	192775	192806
GCF_000680395.1	NZ_KK357774.1	34	261827	305334	96	286716	286747
GCF_000680395.1	NZ_KK357774.1	34	261827	305334	100	286714	286745
GCF_000680395.1	NZ_KK357774.1	32	178873	193761	101	192759	192790
GCF_000680395.1	NZ_KK357774.1	32	178873	193761	104	192757	192788
GCF_000680395.1	NZ_KK357774.1	32	178873	193761	147	192751	192782
GCF_000680395.1	NZ_KK357774.1	32	178873	193761	149	192750	192781
GCF_000680395.1	NZ_KK357775.1	41	261504	374724	133	372034	372065
GCF_000680395.1	NZ_KK357775.1	41	261504	374724	274	372023	372054
GCF_000680395.1	NZ_KK357775.1	41	261504	374724	277	372032	372063
GCF_000680395.1	NZ_KK357775.1	41	261504	374724	278	372024	372055
GCF_000680395.1	NZ_KK357775.1	41	261504	374724	279	372031	372062
