GCF_000656475.1	NZ_KK323171.1	1	7971	53171
GCF_000656475.1	NZ_KK323171.1	2	178855	192407
GCF_000656475.1	NZ_KK323171.1	3	247953	259982
GCF_000656475.1	NZ_KK323172.1	4	22918	38883
GCF_000656475.1	NZ_KK323172.1	5	133241	139945
GCF_000656475.1	NZ_KK323173.1	6	65163	123291
GCF_000656475.1	NZ_KK323173.1	7	151301	157434
GCF_000656475.1	NZ_KK323174.1	8	68505	80583
GCF_000656475.1	NZ_KK323174.1	9	170712	192690
GCF_000656475.1	NZ_KK323175.1	10	37811	51928
GCF_000656475.1	NZ_KK323175.1	11	100712	122347
GCF_000656475.1	NZ_KK323176.1	12	1502	13870
GCF_000656475.1	NZ_KK323176.1	13	19462	33900
GCF_000656475.1	NZ_KK323176.1	14	36610	45837
GCF_000656475.1	NZ_KK323176.1	15	102850	118999
GCF_000656475.1	NZ_KK323176.1	16	138992	154609
GCF_000656475.1	NZ_KK323177.1	17	31203	125720
GCF_000656475.1	NZ_KK323178.1	18	861	30071
GCF_000656475.1	NZ_KK323178.1	19	68608	112115
GCF_000656475.1	NZ_KK323179.1	20	83575	99437
GCF_000656475.1	NZ_KK323179.1	21	100846	115940
GCF_000656475.1	NZ_KK323180.1	22	20421	34042
GCF_000656475.1	NZ_KK323180.1	23	113345	118549
GCF_000656475.1	NZ_KK323181.1	24	41390	59701
GCF_000656475.1	NZ_KK323181.1	25	93155	122594
GCF_000656475.1	NZ_KK323182.1	26	80	23598
GCF_000656475.1	NZ_KK323183.1	27	58595	125283
GCF_000656475.1	NZ_KK323184.1	28	7156	48338
GCF_000656475.1	NZ_KK323184.1	29	80231	93602
GCF_000656475.1	NZ_KK323186.1	30	65377	75246
GCF_000656475.1	NZ_KK323187.1	31	9923	35971
GCF_000656475.1	NZ_KK323187.1	32	35979	49826
GCF_000656475.1	NZ_KK323190.1	33	0	52828
GCF_000656475.1	NZ_KK323190.1	34	69882	82863
GCF_000656475.1	NZ_KK323191.1	35	0	58636
GCF_000656475.1	NZ_KK323194.1	36	0	64634
GCF_000656475.1	NZ_KK323195.1	37	50937	61883
GCF_000656475.1	NZ_KK323196.1	38	15856	62891
GCF_000656475.1	NZ_KK323197.1	39	50118	60329
GCF_000656475.1	NZ_KK323202.1	40	8438	33354
GCF_000656475.1	NZ_KK323203.1	41	0	33256
GCF_000656475.1	NZ_KK323204.1	42	2	33492
GCF_000656475.1	NZ_KK323209.1	43	27203	34646
GCF_000656475.1	NZ_KK323210.1	44	2	5867
GCF_000656475.1	NZ_KK323210.1	45	19375	32054
